feature,corr_screening,MDI,LASSO,LOCO
County_population,0,0,0,1
Education_LT12years_score,0,0,1,0
HHRenter_Occupied_score,0,0,0,1
SDI_score,0,0,0,1
bare-coverfraction,0,0,1,0
dewpoint_temperature_2m,1,0,0,0
evaporation_from_bare_soil_sum,0,0,0,1
grass-coverfraction,0,1,1,0
lake_mix_layer_temperature,1,1,0,0
leaf_area_index_high_vegetation,0,0,1,0
leaf_area_index_low_vegetation,1,1,1,1
ozone,1,0,0,0
pctHH_Renter_Occupied,0,0,0,1
shrub-coverfraction,0,1,0,0
snow_cover,1,0,0,1
snow_depth,1,1,1,0
soil_temperature_level_1,0,1,0,1
surface_latent_heat_flux_sum,0,0,0,1
surface_thermal_radiation_downwards_sum,1,1,1,0
temperature_2m,1,0,0,0
total_aerosol_optical_depth_at_550nm_surface,0,1,0,0
urban-coverfraction,0,1,0,0
volumetric_soil_water_layer_3,0,0,1,0
water-permanent-coverfraction,0,0,0,1
water-seasonal-coverfraction,1,0,1,0
year,1,1,1,0
